SKU	KEYWORDS	DESCRIPTION	CONSUMABLE	AVAILABILITY	PRICE	LINK	NAME	IMAGE	LOCATION	DATASHEET
VmFyaWFibGU=	Potentiometer		0	2	16.99	https://www.amazon.com/dp/B01MG0XKPQ/ref=sxbs_sxwds-stvp_3?pf_rd_m=ATVPDKIKX0DER&pf_rd_p=3341940462&pd_rd_wg=dKVgU&pf_rd_r=DQJCX0C20F5ZE0JDR3ZF&pf_rd_s=desktop-sx-bottom-slot&pf_rd_t=301&pd_rd_i=B01MG0XKPQ&pd_rd_w=TKJ6h&pf_rd_i=potentiometer&pd_rd_r=39761c99-f1aa-415d-9323-b6b822e81854&ie=UTF8&qid=1512610744&sr=3	Variable	../cap/images/variableResistorKit.jpg		
U2VjdXJpdHkgY2FtZXJhcw==	Camera	get another later	0	1	363.08	https://www.axis.com/global/en/products/axis-m3046-v	Security cameras	../cap/images/securityCamera.png		
UmFzcGJlcnJ5IFBp	MicroController	1.2GHz 64-bit quad-core ARMv8 CPU, 1 GB RAM 802.11n Wireless LAN, 10/100Mbps Lan Speed Bluetooth 4.1, Bluetooth Low Energy 4 USB ports, 40 GPIO pins, Full HDMI port, Combined 3.5mm audio jack and composite video Camera interface (CSI),Display interface (DSI), Micro SD card slot (now push-pull rather than push-push), VideoCore IV 3D graphics core	0	5	35.08	https://www.amazon.com/Raspberry-Model-1-2GHz-64-bit-quad-core/dp/B01CD5VC92/ref=sr_1_3?s=electronics&ie=UTF8&qid=1508770927&sr=1-3&keywords=raspberry+pi	Raspberry Pi	../cap/images/raspberryPi3B.jpg		../cap/datasheets/raspberryPi3B.pdf
TGVkIExhbXA=	Office		0	1	29.99	https://www.amazon.com/TaoTronics-Eye-caring-Dimmable-Charging-Licensing/dp/B0197ZOAKE/ref=sr_1_4?s=lamps-light&ie=UTF8&qid=1512610318&sr=1-4&keywords=desk%2Blight&th=1	Led Lamp	../cap/images/deskLamp.jpg		
QW1hem9uQmFzaWMgcG93ZXIgc3RyaXBz	Tools		0	6	11.49	https://www.amazon.com/AmazonBasics-6-Outlet-Surge-Protector-2-Pack/dp/B014EKQ5AA/ref=sr_1_2_sspa?ie=UTF8&qid=1518462180&sr=8-2-spons&keywords=power+strip&psc=1	AmazonBasic power strips	../cap/images/amazonBasicPowerStrip2pcs.jpg		
NngxNG1tIFZpYnJhdGlvbg==	Vibration	Motor size: 6x14mm ???Because of the different production batches, the color of the wires may be different. Please pay attention to it) Vibrating wheel size: 0.5X4mm Voltage: 1.5V-3V DC 3.7V Current: 0.195A Speed 19000RPM Package: 10pcs MOTOR	0	2	8.69	https://www.amazon.com/NW-Powerful-Vibration-1-5V-4-5V-19000RPM/dp/B073VCMVBM/ref=sr_1_1?ie=UTF8&qid=1512612877&sr=8-1&keywords=vibrator+motor	6x14mm Vibration	../cap/images/MicroVibrator1pt5v19krpm.jpg		
RWxlZ29vIDM3aW4xIFNlbnNvciBTZXQ=	Tools	Elegoo 37-in-1 Sensor Kit provides an open-source electronics prototyping platform based on flexible, easy-to-use hardware and software, which is designed toevolve the user from beginner to professional level.	0	1	28.98	https://www.amazon.com/Elegoo-Sensor-Module-Arduino-MEGA/dp/B01MG49ZQ5/ref=sr_1_33_sspa?ie=UTF8&qid=1512694602&sr=8-33-spons&keywords=jumper%2Bcables%2Bbreadboard&th=1	Elegoo 37in1 Sensor Set	../cap/images/sensorKit37pcsV2.jpg	Drawer 2A	
QWxpZ2F0b3IgQ2xpcHM=	Tools		0	10	5.98	https://www.amazon.com/WGGE-WG-026-Pieces-Colors-Alligator/dp/B06XX25HFX/ref=sr_1_1_sspa?ie=UTF8&qid=1508767734&sr=8-1-spons&keywords=alligator+clips&psc=1	Aligator Clips	../cap/images/alligatorClips10pcs.jpg		
V2VsbGVyIElyb24=	Soldering	Middle	0	3	14.4	https://www.digikey.com/product-detail/en/apex-tool-group/WSB25HK/WSB25HK-ND/4526281	Weller Iron	../cap/images/wellerApexSolderingIron.jpg		
SC1CcmlkZ2U=	Integrated Chip		0	1	2.52	https://www.amazon.com/Texas-Instrumen-SN754410NE-Quadruple-Plastic/dp/B01KHWGZF4/ref=sr_1_2?ie=UTF8&qid=1532116864&sr=8-2&keywords=SN754410	H-Bridge	../cap/images/SN754410NE.jpg		
