SKU	KEYWORDS	DESCRIPTION	CONSUMABLE	AVAILABILITY	PRICE	LINK	NAME	IMAGE	LOCATION	DATASHEET
TWljcm9TZXJ2bw==	Servo	Operating speed: 0.12second/ 60degree ( 4.8V no load) Stall Torque (4.8V): 17.5oz /in (1kg/cm) Operating voltage: 3.0V~7.2V Temperature range: -30 to +60 Dead band width: 7usec	0	3	17.89	https://www.amazon.com/J-Deal%C2%AE-Micro-Helicopter-Airplane-Controls/dp/B00X7CJZWM/ref=sr_1_2_sspa?ie=UTF8&qid=1512610995&sr=8-2-spons&keywords=micro+servo&psc=1	MicroServo	../cap/images/microServoMotor.jpg	Drawer 3A	
MS41bW0gU29sZGVy	Soldering		0	3	9.99	https://www.amazon.com/Mudder-Solder-Ag0-3-Electrical-Soldering/dp/B01LSJ7FZO/ref=sr_1_3?ie=UTF8&qid=1512609963&sr=8-3&keywords=leadfree+solder+wire	1.5mm Solder	../cap/images/leadFreeSolder100g1And1Halfmm.jpg		
TmVtYSBTdGVwcGVyIDE3	Actuator	3D printer motor with high torque 59Ncm(83.6oz.in) holding torque NEMA 17 bipolar 1.65"x1.65"x1.85" 4-wire Build with 1m Cable and 0.1" pitch Connector Rated current 2.0A & resistance 1.4ohms	0	15	13.99	https://www.amazon.com/Stepper-Bipolar-4-lead-Connector-Printer/dp/B00PNEQKC0/ref=sr_1_2?rps=1&ie=UTF8&qid=1508769961&sr=8-2&keywords=nema+stepper+motor&refinements=p_85%3A2470955011	Nema Stepper 17	../cap/images/nemaStepper17.jpg		
TmVtYSBTdGVwcGVyIDIz	Actuator	Higher Torque 1.26Nm(178.5oz.in) holding torque NEMA 23 bipolar 2.24"x2.24"x2.2" 4-wire 1.8 deg. step angle(200 steps/rev) Rated current 2.8A & resistance 0.9ohms	0	10	26	https://www.amazon.com/Stepper-Motor-178-5oz-1-26Nm-Stepping/dp/B00PNEPF5I/ref=sr_1_4?rps=1&ie=UTF8&qid=1508769961&sr=8-4&keywords=nema+stepper+motor&refinements=p_85%3A2470955011	Nema Stepper 23	../cap/images/nemaStepper23.jpg		
V2FsbCBob29rIGZvciB0b29scw==	Office		0	4	5.99	https://www.amazon.com/Wall-Control-10-CB-022-C-Bracket-Pegboard/dp/B00YXOI8OY/ref=pd_sim_60_21?_encoding=UTF8&pd_rd_i=B00YXOI8OY&pd_rd_r=e70812ec-ab96-11e8-ad5d-f9d1f1abea37&pd_rd_w=G0EjH&pd_rd_wg=MWMhO&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=eb8198c1-8248-4314-940d-f60f1fec7e75&pf_rd_r=6DYD08GG7SDGA9NW9FGG&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=6DYD08GG7SDGA9NW9FGG	Wall hook for tools	../cap/images/pegboardHook.jpg		
S25vYnM=	Potentiometer		0	2	6.86	https://www.amazon.com/Uxcell-a15010500ux0839-Linear-Rotary-Potentiometer/dp/B01736DHLM/ref=sr_1_13?rps=1&ie=UTF8&qid=1512610744&sr=8-13&keywords=potentiometer&refinements=p_85%3A2470955011	Knobs	../cap/images/potAssortmentWithKnobs.jpg		
R2lrZnVuIExpbmVhcg==	Potentiometer		0	16	5.98	https://www.amazon.com/Gikfun-Knurled-Linear-Potentiometer-Arduino/dp/B0146DJWFU/ref=sr_1_4?ie=UTF8&qid=1512610711&sr=8-4&keywords=potentiometer	Gikfun Linear	../cap/images/potAssortmentWithoutKnobs.jpg		
Q2FibGUgVGVybWluYWxz	Power Supply		0	2	8.99	https://www.amazon.com/WildHD-Pigtails-Connectors-Surveillance-2-1x5-5mm/dp/B0747GYZK3/ref=sr_1_3?ie=UTF8&qid=1512613497&sr=8-3&keywords=dc+power+connector	Cable Terminals	../cap/images/powerPigtailsMF.jpg		
V2FsbCBob29rIGZvciB0b29scyAoQik=	Office		0	8	5.99	https://www.amazon.com/Wall-Control-10-CB-011-C-Bracket-Pegboard/dp/B00YXOHO1M/ref=pd_sim_60_15?_encoding=UTF8&pd_rd_i=B00YXOHO1M&pd_rd_r=e70812ec-ab96-11e8-ad5d-f9d1f1abea37&pd_rd_w=G0EjH&pd_rd_wg=MWMhO&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=eb8198c1-8248-4314-940d-f60f1fec7e75&pf_rd_r=6DYD08GG7SDGA9NW9FGG&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=6DYD08GG7SDGA9NW9FGG	Wall hook for tools (B)	../cap/images/pegboardHookv2.jpg		
THR5dnN0b3JlIFBob3RvcmVzaXN0b3I=	Sensing		0	4	9.99	https://www.amazon.com/Ltvystore-Photoresistor-Photoconductive-Resistance-Assortment/dp/B071KCD7SJ/ref=sr_1_1?ie=UTF8&qid=1508767413&sr=8-1&keywords=GL5539	Ltyvstore Photoresistor	../cap/images/photoresistors.jpg		
MTJWIERDIE1vdG9ycyAxMDAgUlBN	DC Motors	No-load Speed: 100RPM at 12V | Torque: 20Ncm | Power: 7.2W | No-load Current: 0.15A | Load Current: 0.6A | Reduction Ratio: 1: 31.6 | Mounting Screw Size: M3 (not included).	0	1	13.97	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B01KTZXZ1G/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	12V DC Motors 100 RPM	../cap/images/dcMotor50.jpg		
